Nesto Usage Report,Unnamed: 1
,
0,
Nesto,Qty
pinprobe,238
noconn,194
inv,54
nand2,35
dftmodule,25
dftprobeModel0,19
dbuf,19
switchgnd,12
datamap0,10
drmmodule,9
amplifier,8
IPOTTldo,8
dftprobeModel2,6
datamap0s,5
reference,4
capacitorfixed,4
resistor,3
nor3,3
dftstatusModel0,3
ESDminiClamp6,3
delayclock,2
currentgenerator,2
celeranoconn,2
switchtransmission,1
porb,1
oscillatorcrude,1
nor2,1
nand3,1
dftprobeModel3,1
delayfixed,1
decoder3,1
amux8,1
amux2,1
