Nesto Usage Report,Unnamed: 1
,
0,
Nesto,Qty
pinprobe,45
inv,14
nand2,7
noconn,6
wrapper,2
switchpulldown,2
switchgnd,2
nand3,2
dbuf,2
PEBBLEtielo,2
vbuffer,1
nor2,1
delayfixed,1
amux8,1
