TMA SUMMARY REPORT (DFTs),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
General,,,,,,,,
0,,,,,,,,
"{""TAEXT"": ""5"", ""tdext"": ""6"", ""TAO"": ""8"", ""tdo"": ""7""}",,,,,,,,
Slave Address Ox55,,,,,,,,
"XU1,XceleraCORE,XSERVICE,XBYPASS",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
b8b32e6d,No desciption,dft_hex0x05,DFTtm8a,Ox55,0x05,0x02,2,TAI
d0,No desciption,dft_hex0x05,DFTtm8a,Ox55,0x05,0x02,7,TAI
ref_5bd609b6,No desciption,dft_hex0x05,DFTtm8a,Ox55,0x05,0x01,0,ten
refbg_5bd609b6,No desciption,dft_hex0x05,DFTtm8a,Ox55,0x05,0x01,1,ten
reference_5bd609b6,No desciption,dft_hex0x05,DFTtm8a,Ox55,0x05,0x01,2,ten
f9d9ba05,No desciption,dft_hex0x05,DFTtm8a,Ox55,0x05,0x01,3,ten
7f2c8f5c,No desciption,dft_hex0x05,DFTtm8a,Ox55,0x05,0x01,4,ten
tai_n5uref_b38e83c8,No desciption,dft_hex0x05,DFTtm8a,Ox55,0x05,0x01,5,ten
tai_p5uref_b38e83c8,No desciption,dft_hex0x05,DFTtm8a,Ox55,0x05,0x01,6,ten
tai_n50uref_b38e83c8,No desciption,dft_hex0x05,DFTtm8a,Ox55,0x05,0x01,7,ten
tai_p50nref_b38e83c8,No desciption,dft_hex0x06,DFTtm8t,Ox55,0x06,0x01,0,ten
tai_p50uref_b38e83c8,No desciption,dft_hex0x06,DFTtm8t,Ox55,0x06,0x01,1,ten
tai_n500nref_b38e83c8,No desciption,dft_hex0x06,DFTtm8t,Ox55,0x06,0x01,2,ten
tai_p500nref_b38e83c8,No desciption,dft_hex0x06,DFTtm8t,Ox55,0x06,0x01,3,ten
currentgenerator_b38e83c8,No desciption,dft_hex0x06,DFTtm8t,Ox55,0x06,0x01,5,ten
taext_currentgenerator_b38e83c8,No desciption,dft_hex0x06,DFTtm8t,Ox55,0x06,0x01,6,ten
b8b32e6d,No desciption,dft_hex0x06,DFTtm8t,Ox55,0x06,0x01,7,ten
"XU1,XceleraCORE,XU19,XLDOconfigNO1",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ldo_4b7cb037,No desciption,dft_hex0x07,DFTtm8t,Ox55,0x07,0x01,0,ten
dft_hex0x07_ten,No desciption,dft_hex0x07,DFTtm8t,Ox55,0x07,0x01,7,ten
"XU1,XceleraCORE,XU19,XLDOCONFIGURE1",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ldo_28b60566,No desciption,dft_hex0x08,DFTtm8t,Ox55,0x08,0x01,0,ten
dft_hex0x08_ten,No desciption,dft_hex0x08,DFTtm8t,Ox55,0x08,0x01,7,ten
"XU1,XceleraCORE,XU19,XLDOCONFIGURE20mA",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ldo_18c7b6b5,No desciption,dft_hex0x09,DFTtm8t,Ox55,0x09,0x01,0,ten
dft_hex0x09_ten,No desciption,dft_hex0x09,DFTtm8t,Ox55,0x09,0x01,7,ten
"XU1,XceleraCORE,XU19,XLDOFIXED",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ldo_214c0f74,No desciption,dft_hex0x0A,DFTtm8t,Ox55,0x0A,0x01,0,ten
dft_hex0x0A_ten,No desciption,dft_hex0x0A,DFTtm8t,Ox55,0x0A,0x01,7,ten
"XU1,XceleraCORE,XU19,XLDOFIXED1",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ldo_84a4f319,No desciption,dft_hex0x0B,DFTtm8t,Ox55,0x0B,0x01,0,ten
dft_hex0x0B_ten,No desciption,dft_hex0x0B,DFTtm8t,Ox55,0x0B,0x01,7,ten
"XU1,XceleraCORE,XU19,XLDOSTANDALONE",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ldo_601da658,No desciption,dft_hex0x0C,DFTtm8t,Ox55,0x0C,0x01,0,ten
dft_hex0x0C_ten,No desciption,dft_hex0x0C,DFTtm8t,Ox55,0x0C,0x01,7,ten
"XU1,XceleraCORE,XU19,XLDOSTANDALONE20mA",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ldo_8ee3cb3c,No desciption,dft_hex0x0D,DFTtm8t,Ox55,0x0D,0x01,0,ten
dft_hex0x0D_ten,No desciption,dft_hex0x0D,DFTtm8t,Ox55,0x0D,0x01,7,ten
"XU1,XceleraCORE,XU19,XLDOUNITY",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ldo_90e98eb0,No desciption,dft_hex0x0E,DFTtm8t,Ox55,0x0E,0x01,0,ten
dft_hex0x0E_ten,No desciption,dft_hex0x0E,DFTtm8t,Ox55,0x0E,0x01,7,ten
"XU1,XceleraCORE,XU19",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
f02995dc,No desciption,dft_hex0x0F,DFTtm8d,Ox55,0x0F,0x02,0,tdi
50bed958,No desciption,dft_hex0x0F,DFTtm8d,Ox55,0x0F,0x02,1,tdi
7faccc12,No desciption,dft_hex0x0F,DFTtm8d,Ox55,0x0F,0x02,2,tdi
974f4750,No desciption,dft_hex0x0F,DFTtm8d,Ox55,0x0F,0x02,3,tdi
aa41323d,No desciption,dft_hex0x0F,DFTtm8d,Ox55,0x0F,0x02,4,tdi
6d6c90ed,No desciption,dft_hex0x0F,DFTtm8d,Ox55,0x0F,0x02,5,tdi
d8a76868,No desciption,dft_hex0x0F,DFTtm8d,Ox55,0x0F,0x02,6,tdi
e3ee0227,No desciption,dft_hex0x0F,DFTtm8d,Ox55,0x0F,0x02,7,tdi
f02995dc,No desciption,dft_hex0x0F,DFTtm8d,Ox55,0x0F,0x01,0,ten
50bed958,No desciption,dft_hex0x0F,DFTtm8d,Ox55,0x0F,0x01,1,ten
7faccc12,No desciption,dft_hex0x0F,DFTtm8d,Ox55,0x0F,0x01,2,ten
974f4750,No desciption,dft_hex0x0F,DFTtm8d,Ox55,0x0F,0x01,3,ten
aa41323d,No desciption,dft_hex0x0F,DFTtm8d,Ox55,0x0F,0x01,4,ten
6d6c90ed,No desciption,dft_hex0x0F,DFTtm8d,Ox55,0x0F,0x01,5,ten
d8a76868,No desciption,dft_hex0x0F,DFTtm8d,Ox55,0x0F,0x01,6,ten
e3ee0227,No desciption,dft_hex0x0F,DFTtm8d,Ox55,0x0F,0x01,7,ten
"XU1,XceleraCORE,XU20,XAMPCONTROLhigh",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
amplifier_f43ac5fa,No desciption,dft_hex0x10,DFTtm8t,Ox55,0x10,0x01,0,ten
dft_hex0x10_ten,No desciption,dft_hex0x10,DFTtm8t,Ox55,0x10,0x01,7,ten
"XU1,XceleraCORE,XU20,XAMPCONTROLlow",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
amplifier_8242d15d,No desciption,dft_hex0x11,DFTtm8t,Ox55,0x11,0x01,0,ten
dft_hex0x11_ten,No desciption,dft_hex0x11,DFTtm8t,Ox55,0x11,0x01,7,ten
"XU1,XceleraCORE,XU20,XAMPCONTROLmedium",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
amplifier_02fc9eb5,No desciption,dft_hex0x12,DFTtm8t,Ox55,0x12,0x01,0,ten
dft_hex0x12_ten,No desciption,dft_hex0x12,DFTtm8t,Ox55,0x12,0x01,7,ten
"XU1,XceleraCORE,XU20,XAMPFIXEDlow",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
amplifier_4b15d023,No desciption,dft_hex0x13,DFTtm8t,Ox55,0x13,0x01,0,ten
dft_hex0x13_ten,No desciption,dft_hex0x13,DFTtm8t,Ox55,0x13,0x01,7,ten
"XU1,XceleraCORE,XU20,XAMPFIXEDmedium",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
amplifier_57f65156,No desciption,dft_hex0x14,DFTtm8t,Ox55,0x14,0x01,0,ten
dft_hex0x14_ten,No desciption,dft_hex0x14,DFTtm8t,Ox55,0x14,0x01,7,ten
"XU1,XceleraCORE,XU20,XAMPOPENhigh",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
amplifier_cdc307ec,No desciption,dft_hex0x15,DFTtm8t,Ox55,0x15,0x01,0,ten
dft_hex0x15_ten,No desciption,dft_hex0x15,DFTtm8t,Ox55,0x15,0x01,7,ten
"XU1,XceleraCORE,XU20,XAMPOPENlow",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
amplifier_d8ecf8f1,No desciption,dft_hex0x16,DFTtm8t,Ox55,0x16,0x01,0,ten
dft_hex0x16_ten,No desciption,dft_hex0x16,DFTtm8t,Ox55,0x16,0x01,7,ten
"XU1,XceleraCORE,XU20,XAMPOPENmedium",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
amplifier_655a9185,No desciption,dft_hex0x17,DFTtm8t,Ox55,0x17,0x01,0,ten
dft_hex0x17_ten,No desciption,dft_hex0x17,DFTtm8t,Ox55,0x17,0x01,7,ten
"XU1,XceleraCORE,XU20",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
1271fc3d,No desciption,dft_hex0x18,DFTtm8d,Ox55,0x18,0x02,0,tdi
3412c472,No desciption,dft_hex0x18,DFTtm8d,Ox55,0x18,0x02,1,tdi
7f02331b,No desciption,dft_hex0x18,DFTtm8d,Ox55,0x18,0x02,2,tdi
247462ee,No desciption,dft_hex0x18,DFTtm8d,Ox55,0x18,0x02,3,tdi
28635dfc,No desciption,dft_hex0x18,DFTtm8d,Ox55,0x18,0x02,4,tdi
2ee47580,No desciption,dft_hex0x18,DFTtm8d,Ox55,0x18,0x02,5,tdi
10984a03,No desciption,dft_hex0x18,DFTtm8d,Ox55,0x18,0x02,6,tdi
e4f8b3db,No desciption,dft_hex0x18,DFTtm8d,Ox55,0x18,0x02,7,tdi
1271fc3d,No desciption,dft_hex0x18,DFTtm8d,Ox55,0x18,0x01,0,ten
3412c472,No desciption,dft_hex0x18,DFTtm8d,Ox55,0x18,0x01,1,ten
7f02331b,No desciption,dft_hex0x18,DFTtm8d,Ox55,0x18,0x01,2,ten
247462ee,No desciption,dft_hex0x18,DFTtm8d,Ox55,0x18,0x01,3,ten
28635dfc,No desciption,dft_hex0x18,DFTtm8d,Ox55,0x18,0x01,4,ten
2ee47580,No desciption,dft_hex0x18,DFTtm8d,Ox55,0x18,0x01,5,ten
10984a03,No desciption,dft_hex0x18,DFTtm8d,Ox55,0x18,0x01,6,ten
e4f8b3db,No desciption,dft_hex0x18,DFTtm8d,Ox55,0x18,0x01,7,ten
