TMA SUMMARY REPORT (DFTs),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
General,,,,,,,,
0,,,,,,,,
{},,,,,,,,
Slave Address 0x54,,,,,,,,
"XWALTZ,XceleraCORE,XDRIVER,XBOTSW",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
currentlimitlive_2d447a5c,No desciption,dft_hex0x06,DFTtm8d,0x54,0x06,0x02,0,tdi
currentlimitlive_14d08c8e,No desciption,dft_hex0x06,DFTtm8d,0x54,0x06,0x02,1,tdi
currentlimitlive_a0afb596,No desciption,dft_hex0x06,DFTtm8d,0x54,0x06,0x02,2,tdi
a0,No desciption,dft_hex0x06,DFTtm8d,0x54,0x06,0x02,7,tdi
currentlimit_2d447a5c,No desciption,dft_hex0x06,DFTtm8d,0x54,0x06,0x01,0,ten
measure_currentlimit_2d447a5c,No desciption,dft_hex0x06,DFTtm8d,0x54,0x06,0x01,1,ten
currentlimit_14d08c8e,No desciption,dft_hex0x06,DFTtm8d,0x54,0x06,0x01,2,ten
measure_currentlimit_14d08c8e,No desciption,dft_hex0x06,DFTtm8d,0x54,0x06,0x01,3,ten
currentlimit_a0afb596,No desciption,dft_hex0x06,DFTtm8d,0x54,0x06,0x01,4,ten
measure_currentlimit_a0afb596,No desciption,dft_hex0x06,DFTtm8d,0x54,0x06,0x01,5,ten
fetdriver_bd0adf3c,No desciption,dft_hex0x06,DFTtm8d,0x54,0x06,0x01,6,ten
dft_hex0x06_ten,No desciption,dft_hex0x06,DFTtm8d,0x54,0x06,0x01,7,ten
"XWALTZ,XceleraCORE,XDRIVER,XDEBUG",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
f83f6ba2,No desciption,dft_hex0x07,DFTtm8d,0x54,0x07,0x02,0,tdi
32f97a89,No desciption,dft_hex0x07,DFTtm8d,0x54,0x07,0x02,1,tdi
fcfb2c12,No desciption,dft_hex0x07,DFTtm8d,0x54,0x07,0x02,2,tdi
34071f1d,No desciption,dft_hex0x07,DFTtm8d,0x54,0x07,0x02,3,tdi
3788e0aa,No desciption,dft_hex0x07,DFTtm8d,0x54,0x07,0x02,4,tdi
e5798d25,No desciption,dft_hex0x07,DFTtm8d,0x54,0x07,0x02,5,tdi
2a0216d2,No desciption,dft_hex0x07,DFTtm8d,0x54,0x07,0x02,6,tdi
a0,No desciption,dft_hex0x07,DFTtm8d,0x54,0x07,0x02,7,tdi
f83f6ba2,No desciption,dft_hex0x07,DFTtm8d,0x54,0x07,0x01,0,ten
32f97a89,No desciption,dft_hex0x07,DFTtm8d,0x54,0x07,0x01,1,ten
fcfb2c12,No desciption,dft_hex0x07,DFTtm8d,0x54,0x07,0x01,2,ten
34071f1d,No desciption,dft_hex0x07,DFTtm8d,0x54,0x07,0x01,3,ten
3788e0aa,No desciption,dft_hex0x07,DFTtm8d,0x54,0x07,0x01,4,ten
