Nesto Usage Report,Unnamed: 1
,
0,
Nesto,Qty
pinprobe,238
noconn,65
inv,54
nand2,35
dftprobeModel0,19
dbuf,19
dftmodule,16
switchgnd,13
datamap0,9
amplifier,8
IPOTTldo,8
PEBBLEtielo,7
PEBBLEtiehi,7
dftprobeModel2,6
reference,4
capacitorfixed,4
resistor,3
nor3,3
delayclock,2
currentgenerator,2
celeranoconn,2
switchtransmission,1
porb,1
oscillatorcrude,1
nor2,1
nand3,1
dftprobeModel3,1
delayfixed,1
decoder3,1
amux8,1
amux2,1
