Nesto Usage Report,Unnamed: 1
,
0,
Nesto,Qty
pinprobe,40
fetdriver,9
inv,7
nand2,6
capacitorfixed,5
fet,4
floatingreturn,3
fetdn,3
wrapper,2
timingskew,2
fetdp,2
datamap1,2
PEBBLEtielo,2
dbuf,1
