Nesto Usage Report,Unnamed: 1
,
0,
Nesto,Qty
pinprobe,65
inv,20
dbuf,14
nand2,10
delayclock,10
oneshot,8
nor2,6
noconn,5
pinprobeBUS,3
dff,3
dmux2b,2
wrapper,1
nand3,1
drmmodule,1
dftstatusModel0,1
delayfixed,1
datamap0,1
count,1
PEBBLEtielo,1
