DFT Summary,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
Addresses,,,
Path,Instance,TMA,type
"XWALTZ,XceleraCORE,XCLOCK,XDEBUG",dft_hex0x01,0x01,DFTtm8
"XWALTZ,XceleraCORE,XCLOCK,XDEBUG",dft_hex0x02,0x02,DFTtm8t
"XWALTZ,XceleraCORE,XCLOCK,XDEBUG",dft_hex0x1A,0x1A,DFTtm8t
"XWALTZ,XceleraCORE,XCLOCK,XMAIN",dft_hex0x03,0x03,DFTtm8d
"XWALTZ,XceleraCORE,XCONTROL,XCONTROL",dft_hex0x04,0x04,DFTtm8d
"XWALTZ,XceleraCORE,XCONTROL,XCONTROL",dft_hex0x05,0x05,DFTtm8d
"XWALTZ,XceleraCORE,XDRIVER,XBOTSW",dft_hex0x06,0x06,DFTtm8d
"XWALTZ,XceleraCORE,XDRIVER,XDEBUG",dft_hex0x07,0x07,DFTtm8d
"XWALTZ,XceleraCORE,XDRIVER,XDEBUG",dft_hex0x08,0x08,DFTtm8t
"XWALTZ,XceleraCORE,XDRIVER,XDEBUG",dft_hex0x1B,0x1B,DFTtm8t
"XWALTZ,XceleraCORE,XDRIVER,XTOPSW",dft_hex0x09,0x09,DFTtm8
"XWALTZ,XceleraCORE,XFAULTMANAGER,XDEBUG",dft_hex0x0A,0x0A,DFTtm8d
"XWALTZ,XceleraCORE,XFAULTMANAGER,XDEBUG",dft_hex0x0B,0x0B,DFTtm8t
"XWALTZ,XceleraCORE,XFAULTMANAGER,XDEBUG",dft_hex0x0C,0x0C,DFTtm8t
"XWALTZ,XceleraCORE,XFAULTMANAGER,XDEBUG",dft_hex0x1C,0x1C,DFTtm8t
"XWALTZ,XceleraCORE,XFAULTMANAGER,XDEBUG",dft_hex0x1D,0x1D,DFTtm8t
"XWALTZ,XceleraCORE,XFAULTMANAGER,XMAIN",dft_hex0x0D,0x0D,DFTtm8t
"XWALTZ,XceleraCORE,XPOWERGOOD,XDEBUG",dft_hex0x0E,0x0E,DFTtm8
"XWALTZ,XceleraCORE,XPOWERGOOD,XDEBUG",dft_hex0x0F,0x0F,DFTtm8t
"XWALTZ,XceleraCORE,XPOWERGOOD,XDEBUG",dft_hex0x1E,0x1E,DFTtm8t
"XWALTZ,XceleraCORE,XPOWERGOOD,XMAIN",dft_hex0x10,0x10,DFTtm8d
"XWALTZ,XceleraCORE,XREGULATION,XDEBUG",dft_hex0x11,0x11,DFTtm8
"XWALTZ,XceleraCORE,XREGULATION,XDEBUG",dft_hex0x1F,0x1F,DFTtm8t
"XWALTZ,XceleraCORE,XREGULATION,XMAIN",dft_hex0x12,0x12,DFTtm8t
"XWALTZ,XceleraCORE,XSEQUENCER,XSEQUENCER",dft_hex0x13,0x13,DFTtm8d
"XWALTZ,XceleraCORE,XSEQUENCER,XSEQUENCER",dft_hex0x14,0x14,DFTtm8d
"XWALTZ,XceleraCORE,XSERVICE,XDEBUG",dft_hex0x15,0x15,DFTtm8
"XWALTZ,XceleraCORE,XSERVICE,XMAIN",dft_hex0x16,0x16,DFTtm8
"XWALTZ,XceleraCORE,XSERVICE,XMAIN",dft_hex0x17,0x17,DFTtm8t
"XWALTZ,XceleraCORE,XSOFTSTART,XDEBUG",dft_hex0x18,0x18,DFTtm8
"XWALTZ,XceleraCORE,XSOFTSTART,XDEBUG",dft_hex0x20,0x20,DFTtm8t
"XWALTZ,XceleraCORE,XSOFTSTART,XMAIN8",dft_hex0x19,0x19,DFTtm8t
