Nesto Usage Report,Unnamed: 1
,
0,
Nesto,Qty
pinprobe,15
dbuf,5
inv,2
wrapper,1
oscillatorring,1
noconn,1
nand2,1
dmux4,1
delayclock,1
decoder2,1
datamap0,1
clockrequest,1
PEBBLEtielo,1
