ACCURACY ADDRESS REPORT,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
Addresses,,,,,,,,,
Description,Name,TMB,Bank,Bits,Location,Por,User,path,rdl_data
Oscillator_6,Oscillator_6,0x01,0,3,2:0,0x00,,"XOSCILLATORcrudeTEST1,drm_hex0x01","{'nesto': 'oscillatorcrude_b0bd45c4', 'fields': [{'desc': 'Oscillator_6', 'name': 'Oscillator_6', 'function': 'code', 'readwrite': 'readonly'}]}"
Oscillator_7,Oscillator_7,0x01,0,3,5:3,0x00,,"XOSCILLATORcrudeTEST1,drm_hex0x01","{'nesto': 'oscillatorcrude_05716b66', 'fields': [{'desc': 'Oscillator_7', 'name': 'Oscillator_7', 'function': 'code', 'readwrite': 'readonly'}]}"
oscillator_6,oscillator_6,0x01,1,3,2:0,0x00,,"XOSCILLATORcrudeTEST1,drm_hex0x01","{'nesto': 'oscillatorcrude_05ba9649', 'fields': [{'desc': 'oscillator_6', 'name': 'oscillator_6', 'function': 'code', 'readwrite': 'readonly'}]}"
