DFT CELL GLOBAL ADDRESS REPORT,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
"XLOOP,XFEEDBACK,XFB",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ten_XU2,No desciption,dft_hex0xd,DFTtm8t,0,0x0D,0x01,0,ten
"XLOOP,XREG,XFREQ",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ten_XU1,No desciption,dft_hex0x10,DFTtm8d,0,0x10,0x01,0,ten
ten_XU7,No desciption,dft_hex0x10,DFTtm8d,0,0x10,0x01,4,ten
