Nesto Usage Report,Unnamed: 1
,
0,
Nesto,Qty
pinprobe,238
inv,54
noconn,47
wrapper,40
nand2,35
PEBBLEtielo,25
dbuf,19
switchgnd,13
datamap0,10
amplifier,8
IPOTTldo,8
reference,4
capacitorfixed,4
resistor,3
nor3,3
ESDminiClamp6,3
delayclock,2
currentgenerator,2
celeranoconn,2
switchtransmission,1
porb,1
oscillatorcrude,1
nor2,1
nand3,1
delayfixed,1
decoder3,1
amux8,1
amux2,1
PEBBLEtiehi,1
