TMA SUMMARY REPORT (DFTs),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
General,,,,,,,,
0,,,,,,,,
"{""TAEXT"": ""5"", ""TAO"": ""7"", ""tdo"": ""6""}",,,,,,,,
Slave Address 0x54,,,,,,,,
"XU3,XceleraCORE,XSERVICE,XBYPASS",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
d0,No desciption,dft_hex0x05,DFTtm8a,0x54,0x05,0x02,7,TAI
ref_5667720b,No desciption,dft_hex0x05,DFTtm8a,0x54,0x05,0x01,0,ten
refbg_5667720b,No desciption,dft_hex0x05,DFTtm8a,0x54,0x05,0x01,1,ten
reference_5667720b,No desciption,dft_hex0x05,DFTtm8a,0x54,0x05,0x01,2,ten
d1ea89a2,No desciption,dft_hex0x05,DFTtm8a,0x54,0x05,0x01,3,ten
4953f3e5,No desciption,dft_hex0x05,DFTtm8a,0x54,0x05,0x01,4,ten
tai_n5uref_9f5fab65,No desciption,dft_hex0x05,DFTtm8a,0x54,0x05,0x01,5,ten
tai_p5uref_9f5fab65,No desciption,dft_hex0x05,DFTtm8a,0x54,0x05,0x01,6,ten
tai_n50uref_9f5fab65,No desciption,dft_hex0x05,DFTtm8a,0x54,0x05,0x01,7,ten
tai_p50nref_9f5fab65,No desciption,dft_hex0x06,DFTtm8t,0x54,0x06,0x01,0,ten
tai_p50uref_9f5fab65,No desciption,dft_hex0x06,DFTtm8t,0x54,0x06,0x01,1,ten
tai_n500nref_9f5fab65,No desciption,dft_hex0x06,DFTtm8t,0x54,0x06,0x01,2,ten
tai_p500nref_9f5fab65,No desciption,dft_hex0x06,DFTtm8t,0x54,0x06,0x01,3,ten
currentgenerator_9f5fab65,No desciption,dft_hex0x06,DFTtm8t,0x54,0x06,0x01,5,ten
